pin,address,block_lot,city_bldg_value,city_land_value,neighborhood,council_district,ward,tact,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
0001N00219000000,0 GRANDVIEW AVE,0001N00219,,,Mount Washington,2,19,42003190300,5,19,3,4-1,-80.01327899,40.43511529
0002A00132000001,530 SMITHFIELD ST,0002A00132,,,Central Business District,6,2,42003020100,6,2,2,1-4,-79.99746916,40.44091859
0002B00402000000,0 CENTRE AVE,0002B00402,,,NA,,,,,,,,,
0002D00256000000,0 CRAWFORD ST,0002D00256,,,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,-79.9856544,40.44096852
0002D00368000000,39 VINE ST,0002D00368,,,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,-79.9841394,40.44058814
0002D00371000000,1610 FORESIDE ST,0002D00371,,,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,-79.98400597,40.44064517
0002H00147000000,1622 COLWELL ST,0002H00147,,,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,-79.9830582,40.43895094
0002H00284000000,37 VINE ST,0002H00284,,,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,-79.98402163,40.44048342
0002H00287000000,0 VINE ST,0002H00287,,,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,-79.9839105,40.44033629
0002R00275000000,0 2ND AVE,0002R00275,,,BLUFF,6,,42003010300,,,,,-79.98272729,40.43472534
0002R00280000A01,0 10TH ST,0002R00280A,,,Bluff,6,1,42003010300,3,1,2,2-2,-79.97992387,40.43547679
0002R00320000000,0 10TH ST,0002R00320,,,Bluff,6,1,42003010300,6,1,2,2-4,-79.99345221,40.43417133
0003C00055000000,0 S 10TH ST,0003C00055,,,South Side Flats,3,17,42003170200,3,17,3,4-2,-79.98946338,40.43149859
0003D00100000000,0 S 10TH ST,0003D00100,,,South Side Flats,3,17,42003170200,3,17,3,4-24,-79.9863023,40.43168748
0003E00004000000,373 ARLINGTON AVE,0003E00004,,,Mount Washington,3,18,42003191400,5,18,3,4-5,-79.99836085,40.42865896
